hltv_name,year,rating_ct,rating_t,adr,kast,firepower_ct,firepower_t,entrying_ct,entrying_t,trading_ct,trading_t,opening_ct,opening_t,sniping,utility,found,steamid,clutching
woxic,2025,1.09,1.04,71.0,73.6,60,46,30,13,57,74,73,28,93,53,yes,76561198083485506,78
khaN,2024,1.02,1.07,68.7,72.5,53,52,45,27,68,61,45,44,92,61,yes,76561198951467648,75
iM,2024,1.05,1.08,79.3,70.5,78,61,48,33,43,31,71,75,0,52,yes,76561198050250233,39
910,2025,1.05,1.04,72.0,71.3,69,44,23,19,34,50,79,50,92,50,yes,76561199203563345,64
HexT,2025,1.18,1.13,73.9,74.8,61,64,62,73,52,55,27,54,0,54,yes,76561198210934463,58
Mzinho,2024,1.05,1.08,73.2,72.2,50,53,47,64,32,40,35,43,0,52,yes,76561198838822582,42
F1KU,2024,1.02,1.02,71.7,71.0,36,44,67,40,61,63,29,35,0,57,yes,76561198252434500,54
kaze,2024,1.12,1.06,68.8,75.0,60,34,30,23,61,68,46,22,91,67,yes,76561197976393269,92
roman,2024,0.97,0.96,69.5,70.9,38,24,39,42,63,39,44,34,0,67,yes,76561197994395491,44
nettik,2025,1.09,1.06,78.6,71.6,74,53,61,62,77,65,71,73,2,75,yes,76561198332845251,48
snow,2024,1.1,1.05,73.1,74.5,55,44,33,53,56,61,42,48,0,37,yes,76561198377335846,63
chelo,2025,0.96,0.99,70.2,69.9,40,35,72,76,41,30,59,73,0,55,yes,76561198067763828,44
Twistzz,2025,1.2,1.13,80.1,75.3,87,62,75,67,86,76,50,38,0,70,yes,76561198016255205,57
JT,2024,0.95,0.92,68.3,70.6,25,22,71,77,57,46,42,64,0,71,yes,76561198021715100,28
br0,2025,1.11,1.18,81.8,74.2,78,83,67,56,50,61,75,66,1,75,yes,76561198060483793,46
horvy,2024,0.57,0.57,47.6,52.2,0,1,30,15,13,27,43,1,0,49,yes,76561197971316261,22
nawwk,2024,1.01,1.07,68.0,73.4,42,47,14,15,45,64,50,25,89,35,yes,76561198153651861,87
TeSeS,2025,0.98,1.06,69.2,71.9,30,37,57,73,47,59,31,50,0,48,yes,76561197996678278,50
XANTARES,2025,1.16,1.17,85.2,73.8,88,85,50,60,45,51,87,89,0,52,yes,76561198044118796,41
rain,2025,0.99,1.08,74.7,72.0,45,54,55,58,38,45,45,54,0,49,yes,76561197997351207,35
FL1T,2025,1.13,1.01,80.3,73.5,86,41,59,39,63,55,80,53,0,71,yes,76561197995817501,48
jks,2024,1.09,0.99,71.6,74.0,46,39,49,43,56,65,24,26,0,57,yes,76561197977105184,44
ewjerkz,2025,1.05,1.1,74.8,72.5,52,51,53,62,28,38,44,76,0,65,yes,76561198262460262,43
prosus,2024,0.97,0.99,71.0,70.5,37,45,71,74,42,42,58,79,0,37,yes,76561198178801031,25
jambo,2024,1.12,1.14,78.0,74.1,78,75,36,37,42,53,88,78,89,53,yes,76561198800253526,74
PR,2025,1.1,1.13,80.9,72.7,71,74,44,39,46,39,68,65,0,35,yes,76561198310561479,55
JamYoung,2025,1.13,1.22,81.7,74.0,69,92,57,57,37,65,70,82,0,64,yes,76561198364937038,65
Starry,2025,1.11,1.06,79.5,73.4,71,67,59,56,52,60,79,61,0,72,yes,76561198880299543,34
L1haNg,2024,1.08,1.07,81.8,72.1,68,69,49,47,63,71,69,62,0,67,yes,76561199016206318,37
stavn,2024,1.12,1.03,81.4,71.7,82,63,39,40,54,63,72,41,2,76,yes,76561198022365638,37
syrsoN,2024,1.0,0.95,67.4,70.6,47,35,36,27,53,50,74,34,93,41,yes,76561197980122997,55
ZywOo,2025,1.31,1.33,87.1,77.5,97,94,42,55,39,81,84,70,85,64,yes,76561198113666193,67
SENER1,2024,0.99,0.93,68.8,72.4,33,15,69,85,67,56,33,29,0,82,yes,76561198152378187,63
kauez,2025,1.0,0.99,71.8,71.9,51,36,71,63,29,43,63,75,0,39,yes,76561198385657675,34
jackasmo,2024,1.08,1.12,78.1,73.3,65,77,53,34,66,71,36,36,0,68,yes,76561198446445284,51
broky,2025,1.06,1.01,70.8,75.0,62,43,49,53,59,75,68,25,91,67,yes,76561198201620490,79
ag1l,2025,1.06,1.05,73.4,73.1,53,52,59,34,52,61,23,34,0,49,yes,76561198186878873,66
kyousuke,2025,1.24,1.25,90.0,74.6,98,96,69,77,79,76,79,86,1,24,yes,76561199032006224,27
INS,2025,1.0,0.93,72.4,69.5,37,29,64,43,40,47,47,28,1,95,yes,76561197987212623,41
dgt,2024,1.06,1.16,80.2,74.3,72,80,36,10,60,51,72,54,0,33,yes,76561198216891576,49
z4KR,2024,1.08,1.15,74.6,73.6,51,72,67,77,61,68,63,50,69,56,yes,76561198137783463,59
fame,2024,1.01,1.1,70.4,73.5,40,45,73,63,60,67,50,59,0,52,yes,76561198080114546,54
NAF,2024,1.16,1.13,80.7,76.7,72,77,43,40,46,70,31,33,2,74,yes,76561198001151695,50
bodyy,2025,1.04,1.03,76.8,71.0,60,48,46,67,30,61,72,75,0,71,yes,76561198013295375,38
HooXi,2024,0.89,0.85,60.6,70.8,12,4,76,86,27,15,44,73,0,84,yes,76561197998926770,22
Nodios,2024,1.01,1.03,71.2,71.8,38,39,63,44,54,62,37,36,0,79,yes,76561198070876270,67
s1n,2025,1.04,1.08,71.3,74.8,32,43,71,40,70,64,27,23,0,92,yes,76561198190463461,57
Jame,2024,1.06,0.98,65.8,74.2,52,23,18,9,41,47,67,33,93,70,yes,76561198036125584,74
Perfecto,2025,1.02,1.05,71.3,73.4,37,42,48,32,53,64,15,20,0,69,yes,76561198121220486,57
Brollan,2025,0.98,0.91,67.2,70.7,32,13,63,76,47,40,43,56,0,79,yes,76561198138828475,36
Keoz,2024,0.99,0.94,67.6,70.8,28,23,66,70,34,34,31,34,1,44,yes,76561198098344244,41
beastik1,2024,0.97,0.98,66.9,70.4,24,26,38,68,30,35,24,44,0,53,yes,76561198033438750,51
nicx,2025,1.03,0.96,65.8,70.9,34,20,39,56,47,43,20,25,0,29,yes,76561198410085211,55
oskar,2024,1.06,1.11,77.1,70.5,70,81,11,7,37,36,68,49,93,67,yes,76561198131690816,82
NiKo,2025,1.14,1.14,81.4,73.2,85,66,38,30,68,46,79,74,0,75,yes,76561198041683378,59
tabseN,2025,1.04,0.94,74.1,70.0,51,24,50,67,43,35,55,44,1,92,yes,76561197961491680,44
oSee,2025,1.17,1.1,76.3,74.4,81,56,30,30,42,58,87,37,90,60,yes,76561198047472534,46
bLitz,2024,1.1,1.1,80.4,73.3,72,63,40,31,31,44,72,39,1,94,yes,76561198959824088,50
ztr,2025,0.93,0.85,64.2,68.5,27,7,61,80,45,42,20,24,0,88,yes,76561199009468655,61
